0: %: 0.38		Correct: 65	Mistakes: 104	Missed: 925
1: %: 0.84		Correct: 54	Mistakes: 10	Missed: 936
2: %: 0.39		Correct: 33	Mistakes: 51	Missed: 957
3: %: 0.32		Correct: 36	Mistakes: 76	Missed: 954
4: %: 0.73		Correct: 53	Mistakes: 20	Missed: 937
5: %: 0.27		Correct: 37	Mistakes: 99	Missed: 953
6: %: 0.30		Correct: 40	Mistakes: 94	Missed: 950
7: %: 0.71		Correct: 61	Mistakes: 25	Missed: 929
8: %: 0.26		Correct: 50	Mistakes: 139	Missed: 940
9: %: 0.32		Correct: 52	Mistakes: 110	Missed: 938
